ID,Title En,Countries,Date,Nationality,Gender,Enquiry status,Staff,Local,Conflict Zone,Age,Media,Date resolution,dg_request,state_acknowledgements,state_response,País Título EN,country_Regional Group,Coordinates,Calc country code,calc_country,Conflict zone calc,year,month,case_category,resolved,impunity,government_responded,primary_region,resolution_days
3000,Mario Leonel Gómez Sánchez,MX,2018-09-21,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Print,,"[{'id': 50589, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50590, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50591, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50592, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50593, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50594, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Mario Leonel Gómez Sánchez,Not a Conflict Zone,2018,9,Unresolved,0,1,1,Latin America and the Caribbean,
3020,Rubén Pat Cahuich,MX,2018-07-24,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Online,,"[{'id': 50734, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50735, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50736, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50737, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50738, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50739, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Rubén Pat Cahuich,Not a Conflict Zone,2018,7,Unresolved,0,1,1,Latin America and the Caribbean,
3027,José Guadalupe Chan Dzib,MX,2018-06-29,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Online,,"[{'id': 50472, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50473, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50474, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50475, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50476, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50477, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,José Guadalupe Chan Dzib,Not a Conflict Zone,2018,6,Unresolved,0,1,1,Latin America and the Caribbean,
3040,Héctor González Antonio,MX,2018-05-29,Mexican,Male,Ongoing/Unresolved,Staff,Local,False,,Cross-platform,,"[{'id': 50388, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50389, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50390, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50391, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50392, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50393, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Héctor González Antonio,Not a Conflict Zone,2018,5,Unresolved,0,1,1,Latin America and the Caribbean,
3101,Edgar Daniel Esqueda Castro,MX,2017-10-06,Mexican,Male,Ongoing/Unresolved,Freelancer,Local,False,23.0,Cross-platform,,"[{'id': 50226, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50227, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50228, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50229, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50230, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Edgar Daniel Esqueda Castro,Not a Conflict Zone,2017,10,Unresolved,0,1,1,Latin America and the Caribbean,
3115,Luciano Rivera Salgado,MX,2017-07-21,Mexican,Male,Resolved,Staff,Local,False,,Cross-platform,1970-01-01 00:00:00.000002020,[],[],"[{'id': 50540, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Luciano Rivera Salgado,Not a Conflict Zone,2017,7,Resolved,1,0,1,Latin America and the Caribbean,-17368.0
3116,Edwin Rivera Paz,MX,2017-07-09,Honduran,Male,Ongoing/Unresolved,Staff,Foreign,False,,TV,,"[{'id': 50231, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50232, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50233, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50234, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50235, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50236, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Edwin Rivera Paz,Not a Conflict Zone,2017,7,Unresolved,0,1,1,Latin America and the Caribbean,
3139,Javier Arturo Valdez Cárdenas,MX,2017-05-15,Mexican,Male,Resolved,Staff,Local,False,,Print,1970-01-01 00:00:00.000002020,[],[],"[{'id': 50412, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50413, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Javier Arturo Valdez Cárdenas,Not a Conflict Zone,2017,5,Resolved,1,0,1,Latin America and the Caribbean,-17301.0
3202,Pedro Tamayo Rosas,MX,2016-07-20,Mexican,Male,Ongoing/Unresolved,Freelancer,Local,False,,Print,,"[{'id': 50686, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 50687, 'text_1': '2018', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_anexo_une00969.pdf'}, {'id': 50688, 'text_1': '2019', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_2019.pdf'}, {'id': 50689, 'text_1': '2020', 'text_2': 'https://fr.unesco.org/sites/default/files/mexico_safety_2020.pdf'}, {'id': 50690, 'text_1': '2021', 'text_2': 'https://en.unesco.org/sites/default/files/mexico_safety_ms_21.pdf'}, {'id': 50691, 'text_1': '2022', 'text_2': 'https://en.unesco.org/sites/default/files/mex_2022.pdf'}, {'id': 50692, 'text_1': '2026', 'text_2': ''}]",Mexico,Latin America and the Caribbean,"19.35, -99.14",MX,Pedro Tamayo Rosas,Not a Conflict Zone,2016,7,Unresolved,0,1,1,Latin America and the Caribbean,
2821,Raman Kashyap,IN,2021-10-03,Indian,Male,No Information Received So Far,Freelancer,Local,False,,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Raman Kashyap,Not a Conflict Zone,2021,10,Unresolved,0,1,0,Asia and the Pacific,
2826,Manish Kumar Singh,IN,2021-08-10,Indian,Male,No Information Received So Far,Staff,Local,False,,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Manish Kumar Singh,Not a Conflict Zone,2021,8,Unresolved,0,1,0,Asia and the Pacific,
2829,Chennakeshavalu,IN,2021-08-08,Indian,Male,No Information Received So Far,Staff,Local,False,,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Chennakeshavalu,Not a Conflict Zone,2021,8,Unresolved,0,1,0,Asia and the Pacific,
2841,Sulabh Srivastava,IN,2021-06-13,Indian,Male,No Information Received So Far,Staff,Local,False,,Cross-platform,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Sulabh Srivastava,Not a Conflict Zone,2021,6,Unresolved,0,1,0,Asia and the Pacific,
2873,Rakesh Singh,IN,2020-11-27,Indian,Male,No Information Received So Far,Staff,Local,False,,Print,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Rakesh Singh,Not a Conflict Zone,2020,11,Unresolved,0,1,0,Asia and the Pacific,
2992,Achyutananda Sahu,IN,2018-10-30,Indian,Male,No Information Received So Far,Staff,Local,False,,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Achyutananda Sahu,Not a Conflict Zone,2018,10,Unresolved,0,1,0,Asia and the Pacific,
3067,Sandeep Sharma,IN,2018-03-26,Indian,Male,No Information Received So Far,Staff,Local,False,,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Sandeep Sharma,Not a Conflict Zone,2018,3,Unresolved,0,1,0,Asia and the Pacific,
3068,Naveen Nischal,IN,2018-03-25,Indian,Male,No Information Received So Far,Staff,Local,False,,Print,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Naveen Nischal,Not a Conflict Zone,2018,3,Unresolved,0,1,0,Asia and the Pacific,
3104,Shantanu Bhowmick,IN,2017-09-20,Indian,Male,No Information Received So Far,Staff,Local,False,28.0,TV,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Shantanu Bhowmick,Not a Conflict Zone,2017,9,Unresolved,0,1,0,Asia and the Pacific,
3127,Kamlesh Jain,IN,2017-05-31,Indian,Male,No Information Received So Far,Staff,Local,False,42.0,Print,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Kamlesh Jain,Not a Conflict Zone,2017,5,Unresolved,0,1,0,Asia and the Pacific,
3174,Dharmendra Singh,IN,2016-11-12,Indian,Male,No Information Received So Far,Staff,Local,False,,Print,,[],[],[],India,Asia and the Pacific,"28.61, 77.21",IN,Dharmendra Singh,Not a Conflict Zone,2016,11,Unresolved,0,1,0,Asia and the Pacific,
2720,Jean-Jacques Ola Bébé,CM,2023-02-02,Cameroonian,Male,No Information Received So Far,Freelancer,Local,True,41.0,Cross-platform,,"[{'id': 53498, 'text_1': '2024', 'text_2': ''}]",[],[],Cameroon,Africa,"3.86, 11.52",CM,Jean-Jacques Ola Bébé,Conflict Zone,2023,2,Unresolved,0,1,0,Africa,
2721,Martinez Zogo,CM,2023-01-22,Cameroonian,Male,No Information Received So Far,Staff,Local,True,50.0,Radio,,"[{'id': 53495, 'text_1': '2024', 'text_2': ''}]",[],[],Cameroon,Africa,"3.86, 11.52",CM,Martinez Zogo,Conflict Zone,2023,1,Unresolved,0,1,0,Africa,
2722,John Williams Ntwali,RW,2023-01-18,Rwandan,Male,Ongoing/Unresolved,Staff,Local,False,43.0,Cross-platform,,"[{'id': 53496, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 53497, 'text_1': '2024', 'text_2': ''}]",Rwanda,Africa,"-1.95, 30.11",RW,John Williams Ntwali,Not a Conflict Zone,2023,1,Unresolved,0,1,1,Africa,
2728,Fritz Dorilas,HT,2022-11-05,Haitian,Male,No Information Received So Far,Not indicated,Local,False,,Radio,,"[{'id': 48760, 'text_1': '2024', 'text_2': ''}]",[],[],Haiti,Latin America and the Caribbean,"18.55, -72.34",HT,Fritz Dorilas,Not a Conflict Zone,2022,11,Unresolved,0,1,0,Latin America and the Caribbean,
2743,Tayson Latigue,HT,2022-09-11,Haitian,Male,Ongoing/Unresolved,Staff,Local,False,30.0,Online,,"[{'id': 48814, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 48815, 'text_1': '2024', 'text_2': ''}]",Haiti,Latin America and the Caribbean,"18.55, -72.34",HT,Tayson Latigue,Not a Conflict Zone,2022,9,Unresolved,0,1,1,Latin America and the Caribbean,
2807,John Wesley Amady,HT,2022-01-06,Haitian,Male,Ongoing/Unresolved,Staff,Local,False,,Radio,,"[{'id': 48783, 'text_1': '2024', 'text_2': ''}]",[],"[{'id': 48784, 'text_1': '2024', 'text_2': ''}]",Haiti,Latin America and the Caribbean,"18.55, -72.34",HT,John Wesley Amady,Not a Conflict Zone,2022,1,Unresolved,0,1,1,Latin America and the Caribbean,
2941,Néhémie Joseph,HT,2019-10-10,Haitian,Male,Ongoing/Unresolved,Staff,Local,False,,Radio,,"[{'id': 48786, 'text_1': '2020', 'text_2': ''}, {'id': 48787, 'text_1': '2021', 'text_2': ''}, {'id': 48788, 'text_1': '2022', 'text_2': ''}, {'id': 48789, 'text_1': '2024', 'text_2': ''}]","[{'id': 48790, 'text_1': '2022', 'text_2': ''}]","[{'id': 48791, 'text_1': '2020', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388095.locale=en'}, {'id': 48792, 'text_1': '2021', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388096.locale=en'}, {'id': 48793, 'text_1': '2024', 'text_2': ''}]",Haiti,Latin America and the Caribbean,"18.55, -72.34",HT,Néhémie Joseph,Not a Conflict Zone,2019,10,Unresolved,0,1,1,Latin America and the Caribbean,
2961,Rospide Pétion,HT,2019-06-10,Haitian,Male,Ongoing/Unresolved,Staff,Local,False,,Radio,,"[{'id': 48806, 'text_1': '2020', 'text_2': ''}, {'id': 48807, 'text_1': '2021', 'text_2': ''}, {'id': 48808, 'text_1': '2022', 'text_2': ''}, {'id': 48809, 'text_1': '2024', 'text_2': ''}]","[{'id': 48810, 'text_1': '2022', 'text_2': ''}]","[{'id': 48811, 'text_1': '2020', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388095.locale=en'}, {'id': 48812, 'text_1': '2021', 'text_2': 'https://unesdoc.unesco.org/ark:/48223/pf0000388096.locale=en'}, {'id': 48813, 'text_1': '2024', 'text_2': ''}]",Haiti,Latin America and the Caribbean,"18.55, -72.34",HT,Rospide Pétion,Not a Conflict Zone,2019,6,Unresolved,0,1,1,Latin America and the Caribbean,
2736,Rafael Emiro Moreno,CO,2022-10-16,Colombian,Male,Ongoing/Unresolved,Staff,Local,True,,Cross-platform,,"[{'id': 47390, 'text_1': '2024', 'text_2': ''}, {'id': 47391, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 47392, 'text_1': '2024', 'text_2': ''}, {'id': 47393, 'text_1': '2026', 'text_2': ''}]",Colombia,Latin America and the Caribbean,"4.61, -74.08",CO,Rafael Emiro Moreno,Conflict Zone,2022,10,Unresolved,0,1,1,Latin America and the Caribbean,
2893,Abelardo Liz,CO,2020-08-13,Colombian,Male,Ongoing/Unresolved,Staff,Local,True,,Radio,,"[{'id': 47022, 'text_1': '2021', 'text_2': ''}, {'id': 47023, 'text_1': '2022', 'text_2': ''}, {'id': 47024, 'text_1': '2024', 'text_2': ''}, {'id': 47025, 'text_1': '2026', 'text_2': ''}]",[],"[{'id': 47026, 'text_1': '2021', 'text_2': ''}, {'id': 47027, 'text_1': '2022', 'text_2': ''}, {'id': 47028, 'text_1': '2024', 'text_2': ''}, {'id': 47029, 'text_1': '2026', 'text_2': ''}]",Colombia,Latin America and the Caribbean,"4.61, -74.08",CO,Abelardo Liz,Conflict Zone,2020,8,Unresolved,0,1,1,Latin America and the Caribbean,
